LMK_KEY,ADDRESS1,ADDRESS2,ADDRESS3,POSTCODE,BUILDING_REFERENCE_NUMBER,CURRENT_OPERATIONAL_RATING,YR1_OPERATIONAL_RATING,YR2_OPERATIONAL_RATING,OPERATIONAL_RATING_BAND,ELECTRIC_CO2,HEATING_CO2,RENEWABLES_CO2,PROPERTY_TYPE,INSPECTION_DATE,LOCAL_AUTHORITY,CONSTITUENCY,COUNTY,LODGEMENT_DATE,MAIN_BENCHMARK,MAIN_HEATING_FUEL,OTHER_FUEL,SPECIAL_ENERGY_USES,RENEWABLE_SOURCES,TOTAL_FLOOR_AREA,ANNUAL_THERMAL_FUEL_USAGE,TYPICAL_THERMAL_FUEL_USAGE,ANNUAL_ELECTRICAL_FUEL_USAGE,TYPICAL_ELECTRICAL_FUEL_USAGE,RENEWABLES_FUEL_THERMAL,RENEWABLES_ELECTRICAL,YR1_ELECTRICITY_CO2,YR2_ELECTRICITY_CO2,YR1_HEATING_CO2,YR2_HEATING_CO2,YR1_RENEWABLES_CO2,YR2_RENEWABLES_CO2,AIRCON_PRESENT,AIRCON_KW_RATING,ESTIMATED_AIRCON_KW_RATING,AC_INSPECTION_COMMISSIONED,BUILDING_ENVIRONMENT,BUILDING_CATEGORY,ADDRESS,LOCAL_AUTHORITY_LABEL,CONSTITUENCY_LABEL,POSTTOWN,NOMINATED_DATE,OR_ASSESSMENT_END_DATE,LODGEMENT_DATETIME,OCCUPANCY_LEVEL,UPRN,UPRN_SOURCE
1989810502014022415435928000920,,Department of Transport,Great Minster House,SW1P 4DR,550371020000,225,265,146,G,2431,153,0,General Office,2014-02-18,E09000033,E14000639,Greater London Authority,2014-02-24,General Office,Natural Gas,,,,15111,52,122,292,95,0,0,2828,2889,156,169,0,0,Yes,,3,5,Heating and Mechanical Ventilation,C1;,"Department of Transport, Great Minster House",Westminster,Cities of London and Westminster,LONDON,2014-01-31,2013-12-01,2014-02-24 15:43:59,Standard Occupancy,,
693650022011011114431191990930,,St. Peters Eaton Square Primary School,Lower Belgrave Street,SW1W 0NL,392854110000,138,142,130,F,64,43,0,Schools And Seasonal Public Buildings,2011-01-11,E09000033,E14000639,Greater London Authority,2011-01-11,Schools And Seasonal Public Buildings,Natural Gas,,,,1546,142,146,76,40,0,0,66,58,44,41,0,0,Yes,,2,5,Heating and Natural Ventilation,S3;,"St. Peters Eaton Square Primary School, Lower Belgrave Street",Westminster,Cities of London and Westminster,LONDON,2010-07-29,2010-04-30,2011-01-11 14:43:11,Standard Occupancy,100023345193,Address Matched
56516150202015071512421725100930,,Royal College of Surgeons of England,35-43 Lincoln's Inn Fields,WC2A 3PE,127155120000,91,84,86,D,1264,487,0,Cultural Activities; General Office; Hotel; Laboratory Or Operating Theatre,2015-07-15,E09000033,E14000639,Greater London Authority,2015-07-15,General Office,Natural Gas,,,,23055,109,153,100,98,0,0,1158,1160,437,566,0,0,Yes,,3,3,Mixed-mode with Mechanical Ventilation,H4; C1; H3; S10;,"Royal College of Surgeons of England, 35-43 Lincoln's Inn Fields",Westminster,Cities of London and Westminster,LONDON,2015-07-01,2015-06-30,2015-07-15 12:42:17,Standard Occupancy,,
93587860142014071409120429100930,,The Cabinet Office,22-26 Whitehall,SW1A 2WH,217066120000,83,,,D,904,119,0,Fitness And Health Centre; General Office,2014-07-11,E09000033,E14000639,Greater London Authority,2014-07-14,General Office,District Heating,,,,14515,30,121,113,112,0,0,,,,,,,Yes,,3,3,Air Conditioning,H7; C1;,"The Cabinet Office, 22-26 Whitehall",Westminster,Cities of London and Westminster,LONDON,2014-06-01,2014-05-31,2014-07-14 09:12:04,Standard Occupancy,,
16152430142012082720474644200930,,London College of Fashion,20 John Princes Street,W1G 0BJ,219313240000,62,58,,C,462,70,0,University campus,2012-07-14,E09000033,E14000639,Greater London Authority,2012-08-27,University campus,Oil,,,,9836,27,220,85,80,0,0,467,,41,,0,,Yes,,2,3,Heating and Natural Ventilation,S4;,"London College of Fashion, 20 John Princes Street",Westminster,Cities of London and Westminster,LONDON,2012-07-14,2012-06-01,2012-08-27 20:47:46,Standard Occupancy,100023463131,Address Matched
14850270062009042008045765090940,,Marble Arch Marriott Hotel London,134 George Street,W1H 5DN,463371560000,99,,,D,1195,785,880,Fitness and health centre; Hotel; Swimming pool centre,2009-01-01,E09000033,E14000639,Greater London Authority,2009-04-20,Hotel,Natural Gas,,Not applicable,"Type1: CHP - Electricity, 961240 kWh; Type2: CHP - Heat, 1461085 kWh;",16320,248,327,133,107,26.5,30.6,,,,,,,,,,,Mixed-mode with Mechanical Ventilation,H7; H3; H6;,"Marble Arch Marriott Hotel London, 134 George Street",Westminster,Cities of London and Westminster,LONDON,2009-01-01,2008-12-31,2009-04-20 08:04:57,,100023462311,Address Matched
2117650922020012415204452920940,,Churchill Museum & Cabinet War Rooms,"Clive Steps, King Charles Street",SW1A 2AQ,456552230000,111,123,124,E,428,0,0,Cultural Activities,2019-12-11,E09000033,E14000639,Greater London Authority,2020-01-24,Cultural Activities,Grid Supplied Electricity,,,,4466.68,0,198,174,87,0,0,483,483,0,0,0,0,Yes,,2,3,Air Conditioning,H4;,"Churchill Museum & Cabinet War Rooms, Clive Steps, King Charles Street",Westminster,Cities of London and Westminster,LONDON,2019-11-30,2019-09-30,2020-01-24 15:20:44,Extended Occupancy,100023336962,Address Matched
3203280062008112014044708780940,,Courtauld Institute of Art,"Somerset House, Strand",WC2R 0RN,403582860000,125,,,E,783,189,,Cultural activities; University campus,2008-08-31,E09000033,E14000639,Greater London Authority,2008-11-20,University campus,Natural Gas,,Not applicable,Not applicable,9000,109,216,158,81,0,0,,,,,,,,,,,Mixed-mode with Natural Ventilation,H4; S4;,"Courtauld Institute of Art, Somerset House, Strand",Westminster,Cities of London and Westminster,LONDON,,2008-05-31,2008-11-20 14:04:47,,,
41915350062013032112194993270940,,St. Lukes C of E Primary School,Fernhead Road,W9 3EJ,497656380000,101,131,,E,36,12,0,Schools And Seasonal Public Buildings,2013-03-21,E09000033,E14001036,Greater London Authority,2013-03-21,Schools And Seasonal Public Buildings,Natural Gas,,,,1013,62,133,66,40,0,0,42,,26,,0,,No,,,5,Heating and Natural Ventilation,S3;,"St. Lukes C of E Primary School, Fernhead Road",Westminster,Westminster North,LONDON,2012-03-30,2012-03-03,2013-03-21 12:19:49,Standard Occupancy,100023515662,Address Matched
2387820242015051819253263000940,,Prime Minister & First Lord of the Treasury,10 - 12 Downing Street,SW1A 2AA,720392060000,89,103,94,D,630,164,0,General Accommodation; General Office,2015-04-17,E09000033,E14000639,Greater London Authority,2015-05-18,General Accommodation,Natural Gas,,,,6869,107,184,167,172,0,0,692,634,220,230,0,0,Yes,,3,1,Heating and Natural Ventilation,S8; C1;,"Prime Minister & First Lord of the Treasury, 10 - 12 Downing Street",Westminster,Cities of London and Westminster,LONDON,2015-06-30,2015-03-31,2015-05-18 19:25:32,Extended Occupancy,100023336956,Address Matched
6373050922019120615171642700950,,Royal Academy of Music,Marylebone Road,NW1 5HT,547254200000,104,104,77,E,537,185,0,University Campus,2019-10-31,E09000033,E14000639,Greater London Authority,2019-12-06,University Campus,Natural Gas,,,,8112,118,216,120,80,0,0,548,373,189,161,0,0,Yes,,2,5,Mixed-mode with Mechanical Ventilation,S4;,"Royal Academy of Music, Marylebone Road",Westminster,Cities of London and Westminster,LONDON,2019-10-31,2019-09-01,2019-12-06 15:17:16,Standard Occupancy,10033538190,Address Matched
6373050922019022614450342700950,,Royal Academy of Music,Marylebone Road,NW1 5HT,547254200000,104,77,78,E,548,189,0,University Campus,2018-10-31,E09000033,E14000639,Greater London Authority,2019-02-26,University Campus,Natural Gas,,,,8112,120,224,123,80,0,0,373,375,161,145,0,0,Yes,,2,5,Mixed-mode with Mechanical Ventilation,S4;,"Royal Academy of Music, Marylebone Road",Westminster,Cities of London and Westminster,LONDON,2018-10-31,2018-09-01,2019-02-26 14:45:03,Standard Occupancy,10033538190,Address Matched
5436610922008121815175502700950,,Northumberland House,Edward VII Rooms,WC2N 5BY,507616240000,200,,,G,1216,2590,,Long term residential,2008-10-31,E09000033,E14000639,Greater London Authority,2008-12-18,Long term residential,District Heating,,Not applicable,Not applicable,17017,785,392,130,65,0,0,,,,,,,,,,,Mixed-mode with Natural Ventilation,S7;,"Northumberland House, Edward VII Rooms",Westminster,Cities of London and Westminster,LONDON,2008-10-01,2008-07-31,2008-12-18 15:17:55,,,
4788030022017092511574645910950,,Lillian Penson Hall University of London,Talbot Square,W2 1TT,548837500000,113,114,65,E,346,366,0,General Accommodation,2017-09-11,E09000033,E14000639,Greater London Authority,2017-09-25,General Accommodation,Natural Gas,,,,6450,292,296,98,73,0,0,351,163,355,252,0,0,No,,,4,Heating and Natural Ventilation,S8;,"Lillian Penson Hall University of London, Talbot Square",Westminster,Cities of London and Westminster,LONDON,2017-10-01,2017-07-31,2017-09-25 11:57:46,Extended Occupancy,100023476732,Address Matched
10557200022011053111201401750950,,"Imperial College of Science, Technology & Medicine",Prince Consort Road,SW7 2BW,504309130000,165,242,,G,2291,86,0,General Office; Laboratory Or Operating Theatre; University Campus; Workshop,2011-05-31,E09000033,E14000639,Greater London Authority,2011-05-31,University Campus,Natural Gas,,Not applicable,Not applicable,15337,29,184,272,106,0,0,2763,,656,,0,,Yes,,2,3,Air Conditioning,C1; S10; S4; W3;,"Imperial College of Science, Technology & Medicine, Prince Consort Road",Westminster,Cities of London and Westminster,LONDON,2011-03-31,2011-03-31,2011-05-31 11:20:14,Standard Occupancy,10033541631,Address Matched
2181320102009052918185144700950,,Department for Children Schools & Families,"Sanctuary Buildings, Great Smith Street",SW1P 3BT,312892740000,196,219,,G,3982,478,,General office,2009-05-14,E09000033,E14000639,Greater London Authority,2009-05-29,General office,Natural Gas,,,,26128,94,126,277,114,0,0,4227,,679,,,,Yes,,3,5,Air Conditioning,C1;,"Department for Children Schools & Families, Sanctuary Buildings, Great Smith Street",Westminster,Cities of London and Westminster,LONDON,2009-05-01,2009-04-30,2009-05-29 18:18:51,,,
17504900602011052615422371200950,,Royal College of Art,Kensington Gore,SW7 2EU,867150270000,102,107,124,E,992,561,0,University Campus; Workshop; General Office; Cultural Activities,2011-05-19,E09000033,E14000639,Greater London Authority,2011-05-26,University Campus,Natural Gas,,,,15061,192,249,120,95,0,0,1063,1157,537,699,0,0,Yes,,2,1,Heating and Mechanical Ventilation,S4; W3; C1; H4;,"Royal College of Art, Kensington Gore",Westminster,Cities of London and Westminster,LONDON,2011-04-30,2011-04-01,2011-05-26 15:42:23,Standard Occupancy,100023378062,Address Matched
80455860642016061612474551710950,BLUEBELL AND SYCAMORE LODGE,7a Woodfield Road,,W9 3XZ,862626750001,99,78,76,D,94,65,0,Long Term Residential,2016-05-19,E09000033,E14001036,Greater London Authority,2016-06-16,Long Term Residential,Natural Gas,,,,1498,222,368,114,65,0,0.7,71,64,58,62,0,0,Yes,,2,5,Heating and Mechanical Ventilation,S7;,"BLUEBELL AND SYCAMORE LODGE, 7a Woodfield Road",Westminster,Westminster North,LONDON,2016-06-01,2016-04-01,2016-06-16 12:47:45,Standard Occupancy,,
13916430022009040510510038070951,BESSEMER BUILDING,Imperial College London,Exhibition Road,SW7 2AZ,537538800001,278,,,G,1681,714,,Information not provided,2009-03-01,E09000033,E14000639,Greater London Authority,2009-04-05,University campus,Natural Gas,,Not applicable,Not applicable,8968,410,175,341,113,0,0,,,,,,,,,,,Heating and Mechanical Ventilation,C1; S10; S4; W3;,"BESSEMER BUILDING, Imperial College London, Exhibition Road",Westminster,Cities of London and Westminster,LONDON,2009-03-01,2009-01-01,2009-04-05 10:51:00,,,
13916430922015081908544938700951,BESSEMER BUILDING,Imperial College London,Exhibition Road,SW7 2AZ,537538800001,257,,,G,2113,525,0,University Campus,2014-10-31,E09000033,E14000639,Greater London Authority,2015-08-19,University Campus,Natural Gas,,Not applicable,Not applicable,8793.7,308,266,437,118,0,0,,,,,,,Yes,,2,5,Heating and Mechanical Ventilation,S4;,"BESSEMER BUILDING, Imperial College London, Exhibition Road",Westminster,Cities of London and Westminster,LONDON,2015-08-01,2015-05-03,2015-08-19 08:54:49,Extended Occupancy,,
13916031062009040511274138070954,IMPERIAL COLLEGE LIBRARY,Imperial College London,Exhibition Road,SW7 2AZ,537538800014,252,,,G,2491,592,,General office; Laboratory or operating theatre; University campus; Workshop,2009-03-01,E09000033,E14000639,Greater London Authority,2009-04-05,University campus,Natural Gas,,Not applicable,Not applicable,14218,215,209,319,83,0,0,,,,,,,,,,,Heating and Mechanical Ventilation,C1; S10; S4; W3;,"IMPERIAL COLLEGE LIBRARY, Imperial College London, Exhibition Road",Westminster,Cities of London and Westminster,LONDON,2009-03-01,2008-12-31,2009-04-05 11:27:41,,,
13915030062011053111454538750954,RCS1,Imperial College London,Exhibition Road,SW7 2AZ,537538800004,328,208,215,G,1394,510,0,General Office; Laboratory Or Operating Theatre; University Campus; Workshop,2011-05-31,E09000033,E14000639,Greater London Authority,2011-05-31,Laboratory Or Operating Theatre,Natural Gas,,Not applicable,Not applicable,5636,466,179,450,124,0,0,960,999,228,243,0,0,Yes,,3,1,Heating and Mechanical Ventilation,C1; S10; S4; W3;,"RCS1, Imperial College London, Exhibition Road",Westminster,Cities of London and Westminster,LONDON,2011-03-31,2011-03-31,2011-05-31 11:45:45,Standard Occupancy,,
13916330022009040511110938070958,CHEMISTRY BUILDING,Imperial College London,Exhibition Road,SW7 2AZ,537538800008,226,,,G,2532,601,,Information not provided,2009-03-01,E09000033,E14000639,Greater London Authority,2009-04-05,Laboratory or operating theatre,Natural Gas,,Not applicable,Not applicable,13979,222,171,329,120,0,0,,,,,,,,,,,Heating and Mechanical Ventilation,C1; S10; S4; W3;,"CHEMISTRY BUILDING, Imperial College London, Exhibition Road",Westminster,Cities of London and Westminster,LONDON,2009-03-01,2009-01-01,2009-04-05 11:11:09,,,
24108940922011110217521921700960,,The Pavilion,"Randolph Avenue, Paddington Recreation Ground",W9 1PD,623643150000,134,182,174,F,154,42,0,Dry Sports And Leisure Facility,2010-10-31,E09000033,E14001036,Greater London Authority,2011-11-02,Dry Sports And Leisure Facility,Natural Gas,,,,1030,212,372,272,127,0,0,232,230,36,24,0,0,Yes,,1,5,Mixed-mode with Natural Ventilation,H8;,"The Pavilion, Randolph Avenue, Paddington Recreation Ground",Westminster,Westminster North,LONDON,2011-10-31,2011-08-27,2011-11-02 17:52:19,Extended Occupancy,10033550487,Address Matched
2671360922008100109321833000960,,Commission for Social Care Inspection,33 Greycoat Street,SW1P 2QF,631164370000,151,,,G,187,38,,General office,2008-10-01,E09000033,E14000639,Greater London Authority,2008-10-01,General office,Grid Supplied Electricity,,None identified,None,2021.25,34,95,169,109,0,0,,,,,,,,,,,Air Conditioning,C1; C1; C1; C1;,"Commission for Social Care Inspection, 33 Greycoat Street",Westminster,Cities of London and Westminster,LONDON,,2008-08-31,2008-10-01 09:32:18,,,
3856860062009061815322244060960,,Cabinet Office,35 Great Smith Street,SW1P 3BQ,642266480000,133,137,,F,375,85,,General accommodation; General office,2009-06-01,E09000033,E14000639,Greater London Authority,2009-06-18,General office,Natural Gas,,,,4019.67,109,131,170,110,0,0,376,,86,,,,Yes,,2,3,Heating and Mechanical Ventilation,S8; C1;,"Cabinet Office, 35 Great Smith Street",Westminster,Cities of London and Westminster,LONDON,2009-06-30,2009-03-31,2009-06-18 15:32:22,,100023339383,Address Matched
29915860242011071216441220850960,MARY STANFORD WING,Imperial College Healthcare NHS Trust,St Mary's Hospital,W2 1NY,624686820005,75,72,,C,188,516,0,Hospital - Clinical And Research,2011-06-10,E09000033,E14000639,Greater London Authority,2011-07-12,Hospital - Clinical And Research,Natural Gas,,,,7251,367,415,47,90,0,0,175,,503,,0,,Yes,,2,1,Heating and Natural Ventilation,S6;,"MARY STANFORD WING, Imperial College Healthcare NHS Trust, St Mary's Hospital",Westminster,Cities of London and Westminster,LONDON,2010-09-30,2010-06-30,2011-07-12 16:44:12,Standard Occupancy,,
29916160202011071216464620880960,OUTPATIENTS DEPARTMENT,Imperial College Healthcare NHS Trust,St Mary's Hospital,W2 1NY,624686820008,128,146,,F,320,76,0,Hospital - Clinical And Research,2011-06-10,E09000033,E14000639,Greater London Authority,2011-07-12,Hospital - Clinical And Research,Natural Gas,,,,2386,164,415,244,90,0,0,273,,24,,0,,No,,,4,Mixed-mode with Natural Ventilation,S6;,"OUTPATIENTS DEPARTMENT, Imperial College Healthcare NHS Trust, St Mary's Hospital",Westminster,Cities of London and Westminster,LONDON,2010-09-30,2010-06-30,2011-07-12 16:46:46,Standard Occupancy,,
695350742009061812551782000960,,Queen Elizabeth II,"The Conference Centre, Broad Sanctuary",SW1P 3EE,973635080000,126,132,,F,3273,932,,Entertainment halls; General office,2009-06-12,E09000033,E14000639,Greater London Authority,2009-06-18,Entertainment halls,Natural Gas,,,,26953,178,249,221,137,0,0,3277,,989,,,,Yes,,3,2,Heating and Mechanical Ventilation,H5; C1;,"Queen Elizabeth II, The Conference Centre, Broad Sanctuary",Westminster,Cities of London and Westminster,LONDON,2009-06-29,2009-03-31,2009-06-18 12:55:17,,10033530771,Address Matched
29915980022011110116272928210966,LINDO WING & MRI,Imperial College Healthcare NHS Trust,St Mary's Hospital,W2 1NY,624686820006,86,99,99,D,137,205,0,Hospital - Clinical And Research,2011-09-21,E09000033,E14000639,Greater London Authority,2011-11-01,Hospital - Clinical And Research,Natural Gas,,,,3105.25,341,408,80,90,0,0,183,172,216,225,0,0,Yes,,2,1,Heating and Natural Ventilation,S6;,"LINDO WING & MRI, Imperial College Healthcare NHS Trust, St Mary's Hospital",Westminster,Cities of London and Westminster,LONDON,2011-09-30,2011-06-30,2011-11-01 16:27:29,Standard Occupancy,,
83859740842019031117481166200990,,Kings College,22 Kingsway,WC2B 6LE,588854260000,58,57,59,C,508,139,0,University Campus,2019-01-16,E09000033,E14000639,Greater London Authority,2019-03-11,University Campus,Natural Gas,,,,12642,56,224,73,80,0,0,512,484,109,150,0,0,Yes,,3,5,Air Conditioning,S4;,"Kings College, 22 Kingsway",Westminster,Cities of London and Westminster,LONDON,2018-11-30,2018-09-01,2019-03-11 17:48:11,Standard Occupancy,100023430773,Address Matched
2387873032017060916123433000992,,Prime Minister & First Lord of the Treasury,10 - 12 Downing Street,SW1A 2AA,720392060000,101,99,89,E,559,127,0,General Accommodation; General Office,2017-05-17,E09000033,E14000639,Greater London Authority,2017-06-09,General Office,Natural Gas,,,,6869,75,164,148,123,0,0,537,630,131,164,0,0,Yes,,2,1,Heating and Natural Ventilation,S8; C1;,"Prime Minister & First Lord of the Treasury, 10 - 12 Downing Street",Westminster,Cities of London and Westminster,LONDON,2017-06-01,2017-03-31,2017-06-09 16:12:34,Extended Occupancy,100023336956,Address Matched
42784186032016110911525462900995,,University College London,"Charles Bell House, 67-73 Riding House Street",W1W 7EJ,855294700000,9,72,80,A,27,5,0,Laboratory Or Operating Theatre; University Campus,2016-10-26,E09000033,E14000639,Greater London Authority,2016-11-09,University Campus,Natural Gas,,,,3603.1,7,210,14,112,0,0,192,255,77,36,0,0,No,,,4,Heating and Natural Ventilation,S10; S4;,"University College London, Charles Bell House, 67-73 Riding House Street",Westminster,Cities of London and Westminster,LONDON,2016-10-31,2016-07-31,2016-11-09 11:52:54,Standard Occupancy,10033542738,Address Matched
563055032015051213085824000997,,Scottish Office,"Dover House, Whitehall",SW1A 2AU,570496220000,102,52,43,E,176,70,0,General Office,2015-03-02,E09000033,E14000639,Greater London Authority,2015-05-12,General Office,District Heating,,,,3311,96,106,97,95,0,0,78,77,53,28,0,0,Yes,,2,1,Heating and Natural Ventilation,C1;,"Scottish Office, Dover House, Whitehall",Westminster,Cities of London and Westminster,LONDON,2014-11-01,2014-09-01,2015-05-12 13:08:58,Standard Occupancy,100023336965,Address Matched
951726032016033117023041000997,,102 Petty France,,SW1H 9AJ,272196570000,135,133,129,F,4562,385,0,General Office,2016-03-04,E09000033,E14000639,Greater London Authority,2016-03-31,General Office,Natural Gas,,,,49889,40,110,166,95,0,0,4508,4515,311,384,0,0,Yes,,3,1,Heating and Mechanical Ventilation,C1;,102 Petty France,Westminster,Cities of London and Westminster,LONDON,2015-11-01,2015-08-28,2016-03-31 17:02:30,Standard Occupancy,,
7570775032015021713180078000998,,University of Westminster,32-38 Wells Street,W1T 3UW,781893150000,43,48,51,B,46,108,0,University Campus,2015-02-03,E09000033,E14000639,Greater London Authority,2015-02-17,University Campus,Natural Gas,,,,4255,130,206,20,80,0,0,47,47,138,145,0,0,No,,,4,Heating and Natural Ventilation,S4;,"University of Westminster, 32-38 Wells Street",Westminster,Cities of London and Westminster,LONDON,2015-02-01,2014-12-31,2015-02-17 13:18:00,Standard Occupancy,10033602920,Address Matched
1975342032012062517242955000998,,Admiralty Arch,The Mall,SW1A 2WH,481590590000,95,107,123,D,734,185,0,General Office,2012-06-25,E09000033,E14000639,Greater London Authority,2012-06-25,General Office,District Heating,,,,11571,57,116,115,111,0,0,1111,1276,208,233,0,0,Yes,,3,1,Air Conditioning,C1;,"Admiralty Arch, The Mall",Westminster,Cities of London and Westminster,LONDON,2012-06-28,2012-04-30,2012-06-25 17:24:29,Extended Occupancy,,
